video,has_annotation,T_segments,gt_abn,pseudo_abn,pseudo_ratio,gt_ratio,tp,fp,fn,tn,precision,recall,f1
01_070,0,65,0,9,0.13846153846153847,0.0,0,9,0,56,0.0,0.0,0.0
01_073,0,65,0,13,0.2,0.0,0,13,0,52,0.0,0.0,0.0
01_083,0,55,0,6,0.10909090909090909,0.0,0,6,0,49,0.0,0.0,0.0
02_002,0,56,0,10,0.17857142857142858,0.0,0,10,0,46,0.0,0.0,0.0
02_004,0,89,0,7,0.07865168539325842,0.0,0,7,0,82,0.0,0.0,0.0
02_005,0,22,0,6,0.2727272727272727,0.0,0,6,0,16,0.0,0.0,0.0
02_006,0,28,0,3,0.10714285714285714,0.0,0,3,0,25,0.0,0.0,0.0
02_010,0,20,0,9,0.45,0.0,0,9,0,11,0.0,0.0,0.0
02_011,0,17,0,7,0.4117647058823529,0.0,0,7,0,10,0.0,0.0,0.0
02_0128,1,28,19,3,0.10714285714285714,0.6785714285714286,2,1,17,8,0.6666666666666666,0.10526315789473684,0.18181818181818182
02_013,0,36,0,6,0.16666666666666666,0.0,0,6,0,30,0.0,0.0,0.0
02_014,0,15,0,3,0.2,0.0,0,3,0,12,0.0,0.0,0.0
02_0164,1,22,13,3,0.13636363636363635,0.5909090909090909,3,0,10,9,1.0,0.23076923076923078,0.375
03_001,0,20,0,9,0.45,0.0,0,9,0,11,0.0,0.0,0.0
03_003,0,22,0,6,0.2727272727272727,0.0,0,6,0,16,0.0,0.0,0.0
03_0035,1,24,8,5,0.20833333333333334,0.3333333333333333,4,1,4,15,0.8,0.5,0.6153846153846154
03_0036,1,28,16,10,0.35714285714285715,0.5714285714285714,10,0,6,12,1.0,0.625,0.7692307692307693
03_0039,1,30,16,11,0.36666666666666664,0.5333333333333333,8,3,8,11,0.7272727272727273,0.5,0.5925925925925926
03_004,0,32,0,5,0.15625,0.0,0,5,0,27,0.0,0.0,0.0
03_0041,1,28,7,11,0.39285714285714285,0.25,5,6,2,15,0.45454545454545453,0.7142857142857143,0.5555555555555556
03_006,0,17,0,5,0.29411764705882354,0.0,0,5,0,12,0.0,0.0,0.0
03_0060,1,24,6,5,0.20833333333333334,0.25,4,1,2,17,0.8,0.6666666666666666,0.7272727272727272
03_0061,1,15,4,5,0.3333333333333333,0.26666666666666666,0,5,4,6,0.0,0.0,0.0
04_0001,1,34,20,9,0.2647058823529412,0.5882352941176471,6,3,14,11,0.6666666666666666,0.3,0.41379310344827586
04_0003,1,58,16,18,0.3103448275862069,0.27586206896551724,8,10,8,32,0.4444444444444444,0.5,0.47058823529411764
04_001,0,36,0,13,0.3611111111111111,0.0,0,13,0,23,0.0,0.0,0.0
04_0010,1,31,7,6,0.1935483870967742,0.22580645161290322,3,3,4,21,0.5,0.42857142857142855,0.4615384615384615
04_0013,1,22,14,5,0.22727272727272727,0.6363636363636364,5,0,9,8,1.0,0.35714285714285715,0.5263157894736842
04_003,0,57,0,12,0.21052631578947367,0.0,0,12,0,45,0.0,0.0,0.0
04_004,0,54,0,7,0.12962962962962962,0.0,0,7,0,47,0.0,0.0,0.0
